CommunityID,Glendale Community,             Address,    Tele #,     Fax#,Bdrms,Felony,Msdmnr,Jdgmnts,W/D,Pets,Utilities,X,S8,      Management
1,Advantage Point,5038 n 55th ave Glendale AZ 85301,623-931-0308,623-842-2564,S-1-2,NO,LOCATORS,yes,no,yes,NO,n,Y,
1,Arroyo Villas @ Maryland lakes     ,4748 w sierra vista Glendale 85301,623-931-0750,623-937-2452,1-2,NO,YES,NO,Y,yes,NO,Y,Y,AMC
1,Acacia Pointe,8344 N 67th Ave Glendale AZ 85302,623-842-1522,623-842-2264,1-2,NO,YES,PAID OFF,Y,yes,NO,N,N,MEB
1,Arroyo Vista,5631 w colter Glendale 85301,623-842-2294,623-842-9206,2-3,NO,LOCATORS,,,,,Y,Y,
1,Archstone Arrowhead,7701 west john glendale 85308  ,623-486-9400,,1-2-3,NO,7 YRS,NO,Y,yes,NO,Y,N,LINCOLN
1,Bethany Park,5830 n 67th ave Glendale AZ 85301,623-846-3929,623-846-4611,1-2,NO,YES,1 YR,no,yes,NO,Y,Y,
1,Bethany Village           ,6565 w Bethany home rd Glendale AZ 85301,623-842-1032,623-842-0719,,NO,YES,3  YRS,no,yes,NO,Y,Y,ALISON SHELTON
1,Bella Lofts,4444 w ocotillo rd Glendale AZ 85301,623-792 7067,623-792-8561,1-2-3,NO,5YRS,YES,no,yes,YES,Y,Y,
1,Camelback Villa,5045 n 58th ave Glendale AZ 85301,623-937-7213,,1-2,YES,YES,YES,NO,yes,NO,N,Y,PRIVATE
1,Cambridge Square,6060 w royal palm rd Glendale AZ 85302,623-939-8615,623-939-8683,1-2,NO ,LOCATORS,,,,,,,
1,Cantamar,16630 N 43RD AVE GLENDALE AZ 85306,602-862-9447,,1-2-3,NO,YES,PAID OFF,YES,YES,NO,Y,N,GRAYSTAR
1,Cedar Creek  ,5039 n 57th ave Glendale 85301,623-934-3755,623-934-3216,1-2,NO,LOCATORS,,,,,,,
1,Cedar Court,5215 W Peoria Ave Glendale AZ 85302,623-435-7253,623-934-8084,1-2,NO,YES,4 YRS,NO,YES,NO,Y,N,PEM
1,Posao Park,5202 w Thunderbird rd Glendale AZ 85306,602-978-9310,602-547-1981,1-2-3,NO,YES,NO,YES,yes,NO,Y,Y,PINACOLE
1,Club Valincia,10201 n 44th dr glendale 85302,623-377-7590,623-930-1314,S-1-2,NOT,,,no,,,,,
1,Country Creek,7111 n 75th ave Glendale 85303,623-842-0411,623-842-8452,S-1-2,NO,APPROVAL,3 YRS,no,yes,NO,Y,Y,CHAMBERLYN
1,Country Gables          ,15010 n 59th ave Glendale 85306,602-938-2578,602-938-1408,1-2,NO,7 YRS,3 YRS,YES,YES,NO,N,N,PEM
1,Crystal Spring,8502 n 67th ave #127 glendale az 85302,623-937-2910,623-937-3431,1-2-3,no,yes,no,no,yes,wst,y,n,
1,Crown Villa,6529 West Glendale Ave Gndle AZ 85301,623-937-0887,623-937-0844,S-1-2,NO,YES,NO,YES,YES,WST,Y,N,
1,Desert Vista               ,6565 w cactus Glendale AZ 85304,623-878-3311,623-878-8255,,no,LOCATORS,,,,,,,
1,Eagle Crest,6451 w Bell rd Glendale Az 85308,623-878-1457,623-878-1496,S-1-2,NO,YES,PAID OFF,no,yes,wst,Y,Y,
1,Galleria,10654 n 60th ave Glendale 85304,623-486-3165,623-979-6307,1-2,YES,2YRS,5YRS,NO,YES,wst,Y,Y,BMSI
1,GreenTree,5959 w green way rd Glendale,602-938-2896,,,no,yes,PAID OFF,yes,yes,wst,y,n,
1,Glen Park                  ,6301 N 64th Dr Glendale AZ 85301,623-934-7385,623-321-1495,1-2-3,no,yes,,no,yes,YES,y,Y,
1,Glen  Brae,4949 w northern ave Glendale AZ 85301,623-934-3631,,1-2,NO,NO,YES,no,yes,WST,N,Y,
